kabupaten/kota,tahun,kasus_laki-laki,kasus_perempuan,populasi_laki-laki,populasi_perempuan
BANDUNG,2020,3998,3597,1824524,1758532
BANDUNG,2021,3335,2974,1849361,1784076
BANDUNG,2022,2922,2770,1887381,1820963
BANDUNG,2023,5843,5163,1907055,1842117
BANDUNG,2024,6557,5788,1953971,1885750
BANDUNG BARAT,2020,1114,988,872332,840016
BANDUNG BARAT,2021,776,732,907144,873623
BANDUNG BARAT,2022,899,822,930140,896806
BANDUNG BARAT,2023,1585,1586,939958,907138
BANDUNG BARAT,2024,2093,1924,974016,937645
BEKASI,2020,2673,1909,1456865,1423415
BEKASI,2021,2784,1969,1527698,1495089
BEKASI,2022,2797,1987,1590981,1556287
BEKASI,2023,4995,3636,1614695,1582311
BEKASI,2024,6337,4868,1711222,1676379
BOGOR,2020,9010,7322,2627675,2504680
BOGOR,2021,6211,4954,2726214,2600917
BOGOR,2022,6510,5376,2801048,2672428
BOGOR,2023,11881,10043,2846258,2712627
BOGOR,2024,13846,11618,2974061,2835729
CIAMIS,2020,882,639,632826,627158
CIAMIS,2021,885,632,635111,628087
CIAMIS,2022,951,655,636322,631556
CIAMIS,2023,1723,1219,642917,638284
CIAMIS,2024,1708,1187,651625,646158
CIANJUR,2020,2579,2489,1216433,1152180
CIANJUR,2021,2261,2088,1249754,1188084
CIANJUR,2022,2462,2182,1286527,1219857
CIANJUR,2023,3829,3315,1298946,1236056
CIANJUR,2024,4020,3603,1350395,1288430
CIREBON,2020,3204,2191,1163760,1133239
CIREBON,2021,2055,1431,1198926,1166122
CIREBON,2022,1974,1407,1222681,1188621
CIREBON,2023,4137,3001,1236316,1201583
CIREBON,2024,4429,3252,1263071,1225975
GARUT,2020,1898,1618,1285225,1229290
GARUT,2021,2336,2085,1341444,1287281
GARUT,2022,2532,2214,1408225,1351265
GARUT,2023,4264,3722,1406452,1347497
GARUT,2024,4298,3973,1458601,1393276
INDRAMAYU,2020,1594,1095,942358,928791
INDRAMAYU,2021,945,638,949838,935334
INDRAMAYU,2022,1048,661,962104,950746
INDRAMAYU,2023,1933,1257,973142,960806
INDRAMAYU,2024,2477,1641,997493,982587
KARAWANG,2020,3212,2068,1193589,1167430
KARAWANG,2021,2609,1789,1214979,1191916
KARAWANG,2022,2705,1825,1267126,1242713
KARAWANG,2023,4966,3483,1281826,1257555
KARAWANG,2024,6084,4587,1321284,1290781
KUNINGAN,2020,1418,1000,599724,584016
KUNINGAN,2021,1123,742,607626,591188
KUNINGAN,2022,947,707,617506,600826
KUNINGAN,2023,1376,1116,624827,606945
KUNINGAN,2024,1749,1305,629774,610225
MAJALENGKA,2020,1213,946,662772,652500
MAJALENGKA,2021,1052,810,665612,658242
MAJALENGKA,2022,946,763,674058,665958
MAJALENGKA,2023,1740,1477,681959,672844
MAJALENGKA,2024,2223,1736,689351,680218
PANGANDARAN,2020,195,138,214541,213701
PANGANDARAN,2021,271,181,216731,215868
PANGANDARAN,2022,239,171,218716,218032
PANGANDARAN,2023,422,333,221825,220380
PANGANDARAN,2024,502,359,224519,222753
PURWAKARTA,2020,1103,1046,493002,481302
PURWAKARTA,2021,959,795,506679,494659
PURWAKARTA,2022,1263,1096,517156,503838
PURWAKARTA,2023,2641,2159,525101,511667
PURWAKARTA,2024,2795,2306,539514,524418
SUBANG,2020,1789,1453,794352,789583
SUBANG,2021,1725,1393,800055,796124
SUBANG,2022,1648,1263,809024,809356
SUBANG,2023,2722,2108,817798,818435
SUBANG,2024,3223,2505,838911,838717
SUKABUMI,2020,3091,2737,1333443,1293319
SUKABUMI,2021,2169,1824,1375215,1333751
SUKABUMI,2022,2596,2199,1402812,1359688
SUKABUMI,2023,4306,3525,1416916,1373404
SUKABUMI,2024,4975,4256,1458705,1410238
SUMEDANG,2020,1135,1029,584770,574684
SUMEDANG,2021,756,637,587432,577615
SUMEDANG,2022,727,640,598352,589268
SUMEDANG,2023,1363,1172,607848,597837
SUMEDANG,2024,1521,1205,619513,607147
TASIKMALAYA,2020,1511,1109,916900,886900
TASIKMALAYA,2021,1089,749,948327,917571
TASIKMALAYA,2022,1137,876,988078,951605
TASIKMALAYA,2023,1872,1251,997093,961128
TASIKMALAYA,2024,1942,1370,1016563,979496
KOTA BANDUNG,2020,6011,5941,1256206,1244761
KOTA BANDUNG,2021,4470,4348,1267661,1260193
KOTA BANDUNG,2022,4326,4534,1275897,1269108
KOTA BANDUNG,2023,7455,7331,1287427,1281680
KOTA BANDUNG,2024,8558,8353,1298551,1293212
KOTA BANJAR,2020,509,331,103374,102108
KOTA BANJAR,2021,185,147,103374,102358
KOTA BANJAR,2022,168,100,104346,103279
KOTA BANJAR,2023,490,321,104999,103310
KOTA BANJAR,2024,660,420,105511,103806
KOTA BEKASI,2020,4237,3581,1239236,1225483
KOTA BEKASI,2021,3013,2446,1238339,1230109
KOTA BEKASI,2022,3301,2717,1244983,1241268
KOTA BEKASI,2023,6167,4874,1257169,1256500
KOTA BEKASI,2024,7148,5774,1285093,1287116
KOTA BOGOR,2020,2010,1823,538807,525891
KOTA BOGOR,2021,1330,1253,551620,539776
KOTA BOGOR,2022,2349,2171,563033,550985
KOTA BOGOR,2023,4015,3785,570333,557075
KOTA BOGOR,2024,4791,4412,578674,565434
KOTA CIMAHI,2020,1321,1269,280754,277157
KOTA CIMAHI,2021,871,925,281757,278989
KOTA CIMAHI,2022,832,905,284655,281882
KOTA CIMAHI,2023,2261,2188,289159,286360
KOTA CIMAHI,2024,1948,2038,292434,289560
KOTA CIREBON,2020,981,746,172117,170886
KOTA CIREBON,2021,718,503,172356,171311
KOTA CIREBON,2022,1085,821,173756,172682
KOTA CIREBON,2023,1566,1308,176706,175641
KOTA CIREBON,2024,2032,1699,178969,177660
KOTA DEPOK,2020,2516,2179,942540,930456
KOTA DEPOK,2021,1891,1519,951197,942124
KOTA DEPOK,2022,2109,1911,963442,956740
KOTA DEPOK,2023,3514,3122,973283,968077
KOTA DEPOK,2024,3885,3373,1008092,1002820
KOTA SUKABUMI,2020,1026,794,176539,174920
KOTA SUKABUMI,2021,657,600,177449,176182
KOTA SUKABUMI,2022,793,661,180141,178713
KOTA SUKABUMI,2023,1244,1182,183332,181580
KOTA SUKABUMI,2024,1562,1375,186135,183961
KOTA TASIKMALAYA,2020,826,636,368850,356711
KOTA TASIKMALAYA,2021,577,464,371511,360095
KOTA TASIKMALAYA,2022,803,673,379050,367660
KOTA TASIKMALAYA,2023,1524,1351,384805,373010
KOTA TASIKMALAYA,2024,2180,1838,391746,379093
