kabupaten/kota,tahun,LAKI-LAKI,PEREMPUAN
BANDUNG,2020,1824524,1758532
BANDUNG,2021,1849361,1784076
BANDUNG,2022,1887381,1820963
BANDUNG,2023,1907055,1842117
BANDUNG,2024,1953971,1885750
BANDUNG BARAT,2020,872332,840016
BANDUNG BARAT,2021,907144,873623
BANDUNG BARAT,2022,930140,896806
BANDUNG BARAT,2023,939958,907138
BANDUNG BARAT,2024,974016,937645
BEKASI,2020,1456865,1423415
BEKASI,2021,1527698,1495089
BEKASI,2022,1590981,1556287
BEKASI,2023,1614695,1582311
BEKASI,2024,1711222,1676379
BOGOR,2020,2627675,2504680
BOGOR,2021,2726214,2600917
BOGOR,2022,2801048,2672428
BOGOR,2023,2846258,2712627
BOGOR,2024,2974061,2835729
CIAMIS,2020,632826,627158
CIAMIS,2021,635111,628087
CIAMIS,2022,636322,631556
CIAMIS,2023,642917,638284
CIAMIS,2024,651625,646158
CIANJUR,2020,1216433,1152180
CIANJUR,2021,1249754,1188084
CIANJUR,2022,1286527,1219857
CIANJUR,2023,1298946,1236056
CIANJUR,2024,1350395,1288430
CIREBON,2020,1163760,1133239
CIREBON,2021,1198926,1166122
CIREBON,2022,1222681,1188621
CIREBON,2023,1236316,1201583
CIREBON,2024,1263071,1225975
GARUT,2020,1285225,1229290
GARUT,2021,1341444,1287281
GARUT,2022,1408225,1351265
GARUT,2023,1406452,1347497
GARUT,2024,1458601,1393276
INDRAMAYU,2020,942358,928791
INDRAMAYU,2021,949838,935334
INDRAMAYU,2022,962104,950746
INDRAMAYU,2023,973142,960806
INDRAMAYU,2024,997493,982587
KARAWANG,2020,1193589,1167430
KARAWANG,2021,1214979,1191916
KARAWANG,2022,1267126,1242713
KARAWANG,2023,1281826,1257555
KARAWANG,2024,1321284,1290781
KUNINGAN,2020,599724,584016
KUNINGAN,2021,607626,591188
KUNINGAN,2022,617506,600826
KUNINGAN,2023,624827,606945
KUNINGAN,2024,629774,610225
MAJALENGKA,2020,662772,652500
MAJALENGKA,2021,665612,658242
MAJALENGKA,2022,674058,665958
MAJALENGKA,2023,681959,672844
MAJALENGKA,2024,689351,680218
PANGANDARAN,2020,214541,213701
PANGANDARAN,2021,216731,215868
PANGANDARAN,2022,218716,218032
PANGANDARAN,2023,221825,220380
PANGANDARAN,2024,224519,222753
PURWAKARTA,2020,493002,481302
PURWAKARTA,2021,506679,494659
PURWAKARTA,2022,517156,503838
PURWAKARTA,2023,525101,511667
PURWAKARTA,2024,539514,524418
SUBANG,2020,794352,789583
SUBANG,2021,800055,796124
SUBANG,2022,809024,809356
SUBANG,2023,817798,818435
SUBANG,2024,838911,838717
SUKABUMI,2020,1333443,1293319
SUKABUMI,2021,1375215,1333751
SUKABUMI,2022,1402812,1359688
SUKABUMI,2023,1416916,1373404
SUKABUMI,2024,1458705,1410238
SUMEDANG,2020,584770,574684
SUMEDANG,2021,587432,577615
SUMEDANG,2022,598352,589268
SUMEDANG,2023,607848,597837
SUMEDANG,2024,619513,607147
TASIKMALAYA,2020,916900,886900
TASIKMALAYA,2021,948327,917571
TASIKMALAYA,2022,988078,951605
TASIKMALAYA,2023,997093,961128
TASIKMALAYA,2024,1016563,979496
KOTA BANDUNG,2020,1256206,1244761
KOTA BANDUNG,2021,1267661,1260193
KOTA BANDUNG,2022,1275897,1269108
KOTA BANDUNG,2023,1287427,1281680
KOTA BANDUNG,2024,1298551,1293212
KOTA BANJAR,2020,103374,102108
KOTA BANJAR,2021,103374,102358
KOTA BANJAR,2022,104346,103279
KOTA BANJAR,2023,104999,103310
KOTA BANJAR,2024,105511,103806
KOTA BEKASI,2020,1239236,1225483
KOTA BEKASI,2021,1238339,1230109
KOTA BEKASI,2022,1244983,1241268
KOTA BEKASI,2023,1257169,1256500
KOTA BEKASI,2024,1285093,1287116
KOTA BOGOR,2020,538807,525891
KOTA BOGOR,2021,551620,539776
KOTA BOGOR,2022,563033,550985
KOTA BOGOR,2023,570333,557075
KOTA BOGOR,2024,578674,565434
KOTA CIMAHI,2020,280754,277157
KOTA CIMAHI,2021,281757,278989
KOTA CIMAHI,2022,284655,281882
KOTA CIMAHI,2023,289159,286360
KOTA CIMAHI,2024,292434,289560
KOTA CIREBON,2020,172117,170886
KOTA CIREBON,2021,172356,171311
KOTA CIREBON,2022,173756,172682
KOTA CIREBON,2023,176706,175641
KOTA CIREBON,2024,178969,177660
KOTA DEPOK,2020,942540,930456
KOTA DEPOK,2021,951197,942124
KOTA DEPOK,2022,963442,956740
KOTA DEPOK,2023,973283,968077
KOTA DEPOK,2024,1008092,1002820
KOTA SUKABUMI,2020,176539,174920
KOTA SUKABUMI,2021,177449,176182
KOTA SUKABUMI,2022,180141,178713
KOTA SUKABUMI,2023,183332,181580
KOTA SUKABUMI,2024,186135,183961
KOTA TASIKMALAYA,2020,368850,356711
KOTA TASIKMALAYA,2021,371511,360095
KOTA TASIKMALAYA,2022,379050,367660
KOTA TASIKMALAYA,2023,384805,373010
KOTA TASIKMALAYA,2024,391746,379093
